2020-07-04 02:16:12 status unpacked php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 status unpacked php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 startup packages configure
2020-07-04 02:16:12 configure php-common:all 1:60ubuntu1 <none>
2020-07-04 02:16:12 status unpacked php-common:all 1:60ubuntu1
2020-07-04 02:16:12 status unpacked php-common:all 1:60ubuntu1
2020-07-04 02:16:12 status half-configured php-common:all 1:60ubuntu1
2020-07-04 02:16:12 status installed php-common:all 1:60ubuntu1
2020-07-04 02:16:12 configure php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6 <none>
2020-07-04 02:16:12 status unpacked php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:12 status half-configured php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:17 status installed php7.2-common:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:17 configure php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6 <none>
2020-07-04 02:16:17 status unpacked php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:17 status half-configured php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:17 status installed php7.2-mbstring:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:34 startup archives unpack
2020-07-04 02:16:34 install php7.2-intl:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:34 status half-installed php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:35 status unpacked php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:35 status unpacked php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:35 startup packages configure
2020-07-04 02:16:35 configure php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6 <none>
2020-07-04 02:16:35 status unpacked php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:35 status half-configured php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:35 status installed php7.2-intl:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:57 startup archives unpack
2020-07-04 02:16:57 install php7.2-xml:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:57 status half-installed php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:57 status unpacked php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:57 status unpacked php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:57 startup packages configure
2020-07-04 02:16:57 configure php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6 <none>
2020-07-04 02:16:57 status unpacked php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:57 status half-configured php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:16:59 status installed php7.2-xml:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:13 startup archives unpack
2020-07-04 02:18:13 install php7.2-mysql:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:13 status half-installed php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:13 status unpacked php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:13 status unpacked php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:14 startup packages configure
2020-07-04 02:18:14 configure php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6 <none>
2020-07-04 02:18:14 status unpacked php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:14 status half-configured php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:18:14 status installed php7.2-mysql:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:12 startup archives unpack
2020-07-04 02:19:12 install php7.2-sqlite3:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:12 status half-installed php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:12 status unpacked php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:12 status unpacked php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:12 startup packages configure
2020-07-04 02:19:12 configure php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6 <none>
2020-07-04 02:19:12 status unpacked php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:12 status half-configured php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:13 status installed php7.2-sqlite3:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:31 startup archives unpack
2020-07-04 02:19:32 install php7.2-json:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status half-installed php7.2-json:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-json:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-json:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 install php7.2-opcache:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status half-installed php7.2-opcache:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-opcache:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-opcache:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 install php7.2-readline:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status half-installed php7.2-readline:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-readline:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-readline:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 install libsodium23:amd64 <none> 1.0.16-2
2020-07-04 02:19:32 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2020-07-04 02:19:32 status half-installed libsodium23:amd64 1.0.16-2
2020-07-04 02:19:32 status unpacked libsodium23:amd64 1.0.16-2
2020-07-04 02:19:32 status unpacked libsodium23:amd64 1.0.16-2
2020-07-04 02:19:32 install php7.2-cli:amd64 <none> 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status half-installed php7.2-cli:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-07-04 02:19:32 status unpacked php7.2-cli:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 status unpacked php7.2-cli:amd64 7.2.24-0ubuntu0.18.04.6
2020-07-04 02:19:32 install php-cli:all <none> 1:7.2+60ubuntu1
2020-07-04 02:19:32 status half-installed php-cli:all 1:7.2+60ubuntu1
2020-07-04 02:19:32 status unpacked php-cli:all 1:7.2+60ubuntu1
2020-07-04 02:19:32 status unpacked php-cli:all 1:7.2+60ubuntu1
2020-07-04 02:19:32 install php-json-schema:all <none> 5.2.6-1
2020-07-04 02:19:32 status half-installed php-json-schema:all 5.2.6-1
2020-07-04 02:19:32 status unpacked php-json-schema:all 5.2.6-1
2020-07-04 02:19:32 status unpacked php-json-schema:all 5.2.6-1
2020-07-04 02:19:32 install php-composer-ca-bundle:all <none> 1.1.0-1
2020-07-04 02:19:32 status half-installed php-composer-ca-bundle:all 1.1.0-1
2020-07-04 02:19:32 status unpacked php-composer-ca-bundle:all 1.1.0-1
2020-07-04 02:19:33 status unpacked php-composer-ca-bundle:all 1.1.0-1
2020-07-04 02:19:33 install php-composer-semver:all <none> 1.4.2-1
2020-07-04 02:19:33 status half-installed php-composer-semver:all 1.4.2-1
2020-07-04 02:19:33 status unpacked php-composer-semver:all 1.4.2-1
2020-07-04 02:19:33 status unpacked php-composer-semver:all 1.4.2-1
2020-07-04 02:19:33 install php-composer-spdx-licenses:all <none> 1.3.0-1
2020-07-04 02:19:33 status half-installed php-composer-spdx-licenses:all 1.3.0-1
2020-07-04 02:19:33 status unpacked php-composer-spdx-licenses:all 1.3.0-1
2020-07-04 02:19:33 status unpacked php-composer-spdx-licenses:all 1.3.0-1
2020-07-04 02:19:33 install jsonlint:all <none> 1.7.1-1
2020-07-04 02:19:33 status half-installed jsonlint:all 1.7.1-1
2020-07-04 02:19:33 status unpacked jsonlint:all 1.7.1-1
2020-07-04 02:19:33 status unpacked jsonlint:all 1.7.1-1
2020-07-04 02:19:33 install php-symfony-polyfill-mbstring:all <none> 1.6.0-2
2020-07-04 02:19:33 status half-installed php-symfony-polyfill-mbstring:all 1.6.0-2
2020-07-04 02:19:33 status unpacked php-symfony-polyfill-mbstring:all 1.6.0-2
2020-07-04 02:19:33 status unpacked php-symfony-polyfill-mbstring:all 1.6.0-2
2020-07-04 02:19:33 install php-psr-log:all <none> 1.0.2-1
2020-07-04 02:19:33 status half-installed php-psr-log:all 1.0.2-1
2020-07-04 02:19:33 status unpacked php-psr-log:all 1.0.2-1
2020-07-04 02:19:33 status unpacked php-psr-log:all 1.0.2-1
2020-07-04 02:19:33 install php-symfony-debug:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status half-installed php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 install php-symfony-console:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status half-installed php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 install php-symfony-finder:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status half-installed php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 install php-symfony-process:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status half-installed php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 install php-symfony-filesystem:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status half-installed php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
2020-07-04 02:19:33 status unpacked php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
